Código,Producto,Equipo,Equipación,Año,Talla,Tipo Dorsal,Dorsal Personalizado,Parches,Tipo Manga/Gorra,Descripción,Cantidad,Almacen/Ubicación,Costo,P. Venta,Proveedor,Cliente,Teléfono,Fecha Registro,Nota
"YOLO-1LS8Z3","camiseta de fútbol","MANCHESTER CITY","Local","2024","L","nombre y Número","HAALAND #9","CHAMPIONS","Manga corta","","1","F2","11","30","","","","25/03/2026 4:32 PM","MANCHESTER CITY AZUL 24/25 LOCAL - Talla L- HAALAND #9 - CHAMPIONS"
"YOLO-YCDC79","camiseta de fútbol","MANCHESTER UNITED","Retro","2024","XL","nombre y Número","Cristiano Ronaldo #7","CAHMPIONS ","manga larga","RETRO ROJA","1","F2","11","40","","","","25/03/2026 4:32 PM","CR7"
"YOLO-OJ1LDM","camiseta de fútbol","REAL MADRID","Local","2025","L","nombre y Número","BELLINGHAND #5","CHAMPIONS","manga larga","25/26","1","F3","11","40","","","","25/03/2026 4:32 PM","REAL MADRID 25/26 MANGA LARGA CHAMPIONS - Talla L - BELLINGHAND - CHAMPIOS"
"YOLO-QY9RGY","camiseta de fútbol","REAL MADRID","Alterna","2025","M","nombre y Número","MASTANTUONO #30","CHAMPIONS","Manga corta","AZUL REY ","1","F3","11","30","","","","25/03/2026 4:32 PM","REAL MADRID AZUL REY 25/26 ALTERNA - Talla M - MASTANTUONO #30 - CHAMPIONS"
"YOLO-OL05M1","camiseta de fútbol","REAL MADRID","Edición Especial","2025","L","Sin dorsal","","","Manga corta","","1","F3","11","38","","","","25/03/2026 4:32 PM","REAL MADRID BEISBOL 25/26 - Talla L -SIN DORSAL"
"YOLO-NW8GS9","camiseta de fútbol","REAL MADRID","Edición Especial","2025","M","Sin dorsal","","","Manga corta","MUNDIAL DE CLUBES ","1","F3","11","38","","","","25/03/2026 4:32 PM","REAL MADRID BEISBOL 25/26 - Talla M- SIN DORSAL"
"YOLO-3EH21P","camiseta de fútbol","REAL MADRID","Edición Especial","2025","XL","Sin dorsal","","","Manga corta","MUNDIAL DE CLUBES ","1","F3","11","38","","","","25/03/2026 4:32 PM","REAL MADRID BEISBOL 25/26 - Talla XL - REAL MADRID"
"YOLO-3UBQ3X","camiseta de fútbol","REAL MADRID","Local","2024","L","nombre y Número","MBAPPE #9","CHAMPIONS","Manga corta","","1","F3","11","30","","","","25/03/2026 4:32 PM","REAL MADRID BLANCA 24/25 LOCAL - Talla L- MBAPPE #9 - CHAMPIONS"
"YOLO-CBQ7NF","camiseta de fútbol","REAL MADRID","Local","2024","M","nombre y Número","BELLINGHAM #5","CHAMPIONS","Manga corta","","1","F3","11","30","","","","25/03/2026 4:32 PM","REAL MADRID BLANCA 24/25 LOCAL - Talla M - BELLINGHAM #5 - CHAMPIONS"
"YOLO-P8RSGY","camiseta de fútbol","REAL MADRID","Local","2024","M","nombre y Número","MBAPPE #9","CHAMPIONS","Manga corta","","1","F3","11","30","","","","25/03/2026 4:32 PM","REAL MADRID BLANCA 24/25 LOCAL - Talla M - MBAPPE #9 - CHAMPIONS"
"YOLO-UDBNFS","camiseta de fútbol","REAL MADRID","Local","2024","XL","nombre y Número","MBAPPE #9","CHAMPIONS","Manga corta","","1","F3","11","30","","","","25/03/2026 4:32 PM","REAL MADRID BLANCA 24/25 LOCAL - Talla XL - MBAPPE #9 - CHAMPIONS"
